epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1231.65,0.31604,0.53477,1.01636,0.85427,0.88158,0.92165,0.88853,0.33047,0.48857,0.81913,0.000173375,0.000173375,0.000173375
89,1245.74,0.31134,0.54192,1.0124,0.83317,0.91228,0.92462,0.89182,0.33143,0.486,0.81194,0.000161,0.000161,0.000161
90,1260.2,0.29741,0.54624,1.00094,0.86991,0.90919,0.92824,0.89198,0.32967,0.47704,0.81001,0.000148625,0.000148625,0.000148625
91,1275.53,0.13558,0.45715,1.01343,0.90652,0.87454,0.92594,0.89786,0.31468,0.46125,0.7828,0.00013625,0.00013625,0.00013625
92,1289.73,0.13184,0.43683,0.99754,0.89024,0.86595,0.92964,0.90325,0.3047,0.46848,0.77147,0.000123875,0.000123875,0.000123875
93,1303.51,0.13039,0.40457,0.98181,0.82077,0.9111,0.92293,0.89561,0.29292,0.46761,0.75502,0.0001115,0.0001115,0.0001115
94,1317.01,0.13454,0.37602,0.99667,0.82026,0.90122,0.92445,0.89552,0.31479,0.49435,0.77187,9.9125e-05,9.9125e-05,9.9125e-05
95,1331.01,0.12021,0.40211,0.96686,0.79966,0.94538,0.92687,0.90425,0.2836,0.4579,0.74238,8.675e-05,8.675e-05,8.675e-05
96,1345.16,0.12502,0.37764,0.98188,0.8663,0.88558,0.92938,0.90466,0.29331,0.44269,0.7459,7.4375e-05,7.4375e-05,7.4375e-05
97,1359.75,0.115,0.38001,0.98087,0.8508,0.88057,0.92822,0.9062,0.28912,0.49209,0.74799,6.2e-05,6.2e-05,6.2e-05
98,1374.08,0.10891,0.38326,0.9726,0.87973,0.85834,0.92392,0.90351,0.27741,0.5022,0.74069,4.9625e-05,4.9625e-05,4.9625e-05
99,1387.66,0.11307,0.35442,0.98091,0.86492,0.8664,0.92391,0.90214,0.28763,0.51037,0.7504,3.725e-05,3.725e-05,3.725e-05
100,1400.98,0.10926,0.33621,0.97889,0.86372,0.88661,0.92696,0.90349,0.29655,0.4893,0.75853,2.4875e-05,2.4875e-05,2.4875e-05
